region,state,date,case_day,cases,death_day,deaths,day,%var_case_day,%var_death_day,avg7_cases,avg7_deaths,perc_death,avg7_perc_death
Norte,RO,2020-03-20,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
Norte,RO,2020-03-21,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
Norte,RO,2020-03-22,2,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
Norte,RO,2020-03-23,0,3,0,0,4,-100.0,0.0,0.0,0.0,0.0,0.0
Norte,RO,2020-03-24,0,3,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
Norte,RO,2020-03-25,2,5,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
Norte,RO,2020-03-26,0,5,0,0,7,-100.0,0.0,0.0,0.0,0.0,0.0
Norte,RO,2020-03-27,1,6,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0
Norte,RO,2020-03-28,0,6,0,0,9,-100.0,0.0,0.0,0.0,0.0,0.0
Norte,RO,2020-03-29,0,6,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0
Norte,RO,2020-03-30,0,6,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0
Norte,RO,2020-03-31,2,8,1,1,12,0.0,0.0,0.0,0.0,12.5,1.79
Norte,RO,2020-04-01,1,9,0,1,13,-50.0,-100.0,0.0,0.0,11.11,3.37
Norte,RO,2020-04-02,1,10,0,1,14,0.0,0.0,0.0,0.0,10.0,4.8
Norte,RO,2020-04-03,0,10,0,1,15,-100.0,0.0,0.0,0.0,10.0,6.23
Norte,RO,2020-04-04,1,11,0,1,16,0.0,0.0,0.0,0.0,9.09,7.53
Norte,RO,2020-04-05,1,12,0,1,17,0.0,0.0,0.0,0.0,8.33,8.72
Norte,RO,2020-04-06,2,14,0,1,18,100.0,0.0,1.0,0.0,7.14,9.74
Norte,RO,2020-04-07,4,18,0,1,19,100.0,0.0,1.0,0.0,5.56,8.75
Norte,RO,2020-04-08,0,18,0,1,20,-100.0,0.0,1.0,0.0,5.56,7.95
Norte,RO,2020-04-09,10,28,1,2,21,0.0,0.0,2.0,0.0,7.14,7.55
Norte,RO,2020-04-10,4,32,0,2,22,-60.0,-100.0,3.0,0.0,6.25,7.01
Norte,RO,2020-04-11,1,33,0,2,23,-75.0,0.0,3.0,0.0,6.06,6.58
Norte,RO,2020-04-12,2,35,0,2,24,100.0,0.0,3.0,0.0,5.71,6.2
Norte,RO,2020-04-13,7,42,0,2,25,250.0,0.0,4.0,0.0,4.76,5.86
Norte,RO,2020-04-14,22,64,0,2,26,214.29,0.0,6.0,0.0,3.12,5.51
Norte,RO,2020-04-15,5,69,0,2,27,-77.27,0.0,7.0,0.0,2.9,5.13
Norte,RO,2020-04-16,7,76,1,3,28,40.0,0.0,6.0,0.0,3.95,4.68
Norte,RO,2020-04-17,16,92,0,3,29,128.57,-100.0,8.0,0.0,3.26,4.25
Norte,AC,2020-03-19,3,3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
Norte,AC,2020-03-20,4,7,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
Norte,AC,2020-03-21,2,9,0,0,3,-50.0,0.0,0.0,0.0,0.0,0.0
Norte,AC,2020-03-22,2,11,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
